addons_figshare_nodesettings,addons_figshare_nodesettings_external_account_id_adecbe16,CREATE INDEX addons_figshare_nodesettings_external_account_id_adecbe16 ON public.addons_figshare_nodesettings USING btree (external_account_id)
addons_figshare_nodesettings,addons_figshare_nodesettings_owner_id_key,CREATE UNIQUE INDEX addons_figshare_nodesettings_owner_id_key ON public.addons_figshare_nodesettings USING btree (owner_id)
addons_figshare_nodesettings,addons_figshare_nodesettings_pkey,CREATE UNIQUE INDEX addons_figshare_nodesettings_pkey ON public.addons_figshare_nodesettings USING btree (id)
addons_figshare_nodesettings,addons_figshare_nodesettings_user_settings_id_65be43a3,CREATE INDEX addons_figshare_nodesettings_user_settings_id_65be43a3 ON public.addons_figshare_nodesettings USING btree (user_settings_id)
addons_figshare_usersettings,addons_figshare_usersettings__id_321a1fea_like,CREATE INDEX addons_figshare_usersettings__id_321a1fea_like ON public.addons_figshare_usersettings USING btree (_id varchar_pattern_ops)
addons_figshare_usersettings,addons_figshare_usersettings__id_key,CREATE UNIQUE INDEX addons_figshare_usersettings__id_key ON public.addons_figshare_usersettings USING btree (_id)
addons_figshare_usersettings,addons_figshare_usersettings_owner_id_key,CREATE UNIQUE INDEX addons_figshare_usersettings_owner_id_key ON public.addons_figshare_usersettings USING btree (owner_id)
addons_figshare_usersettings,addons_figshare_usersettings_pkey,CREATE UNIQUE INDEX addons_figshare_usersettings_pkey ON public.addons_figshare_usersettings USING btree (id)
addons_forward_nodesettings,addons_forward_nodesettings__id_657f7a11_like,CREATE INDEX addons_forward_nodesettings__id_657f7a11_like ON public.addons_forward_nodesettings USING btree (_id varchar_pattern_ops)
addons_forward_nodesettings,addons_forward_nodesettings__id_key,CREATE UNIQUE INDEX addons_forward_nodesettings__id_key ON public.addons_forward_nodesettings USING btree (_id)
addons_forward_nodesettings,addons_forward_nodesettings_owner_id_key,CREATE UNIQUE INDEX addons_forward_nodesettings_owner_id_key ON public.addons_forward_nodesettings USING btree (owner_id)
